期号,开奖日期,红球,蓝球,排序红球,排序蓝球,出球顺序,销售额,奖池金额,星期
2026025,2026/03/08,02 03 15 20 23 24,10,02 03 15 20 23 24,10,24 23 15 02 20 03,404000000,2553000000,星期日
2026024,2026/03/05,01 02 13 21 23 29,14,01 02 13 21 23 29,14,21 02 13 29 01 23,370000000,2588000000,星期四
2026023,2026/03/03,01 03 08 10 23 29,06,01 03 08 10 23 29,06,03 08 29 01 10 23,361000000,2592000000,星期二
2026022,2026/03/01,15 18 23 25 28 32,11,15 18 23 25 28 32,11,32 15 28 23 25 18,380000000,2652000000,星期日
2026021,2026/02/26,03 13 25 26 30 31,04,03 13 25 26 30 31,04,30 26 13 31 25 03,351000000,2682000000,星期四
2026020,2026/02/24,01 13 14 21 24 30,02,01 13 14 21 24 30,02,13 24 01 30 21 14,381000000,2712000000,星期二
2026019,2026/02/12,07 08 16 17 18 30,01,07 08 16 17 18 30,01,17 08 18 16 30 07,428000000,2716000000,星期四
2026018,2026/02/10,11 15 17 22 25 30,07,11 15 17 22 25 30,07,22 11 17 30 15 25,365000000,2751000000,星期二
2026017,2026/02/08,01 03 05 18 29 32,04,01 03 05 18 29 32,04,05 29 01 03 18 32,387000000,2781000000,星期日
2026016,2026/02/05,04 05 09 10 27 30,13,04 05 09 10 27 30,13,10 09 04 27 05 30,364000000,2811000000,星期四
2026015,2026/02/03,07 10 13 22 27 31,12,07 10 13 22 27 31,12,07 22 27 13 10 31,359000000,2851000000,星期二
2026014,2026/02/01,07 13 19 22 26 32,01,07 13 19 22 26 32,01,22 26 19 07 32 13,386000000,2876000000,星期日
2026013,2026/01/29,04 09 12 13 16 20,01,04 09 12 13 16 20,01,13 16 20 12 09 04,380000000,2961000000,星期四
2026012,2026/01/27,03 05 07 16 20 24,08,03 05 07 16 20 24,08,20 05 03 16 07 24,358000000,2925000000,星期二
2026011,2026/01/25,02 03 04 20 31 32,04,02 03 04 20 31 32,04,03 32 02 04 31 20,394000000,2925000000,星期日
2026010,2026/01/22,04 09 10 15 19 26,12,04 09 10 15 19 26,12,26 19 15 09 10 04,358000000,2865000000,星期四
2026009,2026/01/20,03 06 13 19 23 25,10,03 06 13 19 23 25,10,23 13 19 25 03 06,347000000,2924000000,星期二
2026008,2026/01/18,06 09 16 27 31 33,10,06 09 16 27 31 33,10,09 27 33 16 06 31,388000000,2921000000,星期日
2026007,2026/01/15,09 13 19 27 29 30,01,09 13 19 27 29 30,01,30 27 29 13 09 19,360000000,2890000000,星期四
2026006,2026/01/13,02 06 22 23 24 28,15,02 06 22 23 24 28,15,22 23 02 28 06 24,352000000,2880000000,星期二
2026005,2026/01/11,01 20 22 27 30 33,10,01 20 22 27 30 33,10,20 27 30 22 33 01,387000000,2821000000,星期日
2026004,2026/01/08,03 07 08 09 18 32,10,03 07 08 09 18 32,10,09 32 18 03 07 08,361000000,2782000000,星期四
